# VespaTrack 360-graden stralingsdiagram
# meetmoment: 2026-07-28 12:59:55
# hoogte: 4.0 m
# meetplek: lat 50.7590849, lon 4.2257119
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.0 MHz
# hoek_gemeten is absolute MAVLink-heading, niet relatief
hoek_commando,hoek_gemeten,rssi_mediaan,rssi_min,rssi_max,snr_mediaan,snr_min,snr_max,n_metingen,tijdstip
188.2,201.1,-102.0,-103.0,-95.0,4.2,1.2,7.0,5,12:55:14
198.2,177.9,-98.0,-102.0,-97.0,6.0,5.5,7.2,5,12:55:30
208.2,210.9,-99.0,-100.0,-98.0,5.8,4.0,6.2,5,12:55:37
218.2,219.4,-101.0,-102.0,-99.0,3.5,2.0,5.5,5,12:55:43
228.2,230.2,-103.0,-104.0,-101.0,1.5,-0.2,4.0,5,12:55:51
238.2,239.5,-102.0,-105.0,-101.0,1.2,0.2,3.8,5,12:55:59
248.2,253.3,-102.0,-106.0,-102.0,1.8,-0.5,3.8,5,12:56:07
258.2,258.2,-99.0,-101.0,-98.0,5.8,3.8,5.8,5,12:56:16
268.2,271.9,-97.0,-98.0,-94.0,6.5,6.0,7.0,5,12:56:24
278.2,280.1,-98.0,-98.0,-96.0,6.5,5.5,7.2,5,12:56:32
288.2,293.0,-98.0,-98.0,-92.0,6.5,3.8,7.0,5,12:56:41
298.2,300.1,-97.0,-98.0,-97.0,7.0,6.8,7.5,5,12:56:50
308.2,308.1,-97.5,-98.0,-97.0,6.5,6.0,7.5,4,12:56:59
318.2,327.9,-99.0,-100.0,-97.0,5.0,2.2,5.8,5,12:57:07
328.2,328.0,-99.0,-100.0,-98.0,5.8,5.2,6.5,5,12:57:14
338.2,342.2,-98.0,-100.0,-98.0,6.2,5.2,7.2,5,12:57:21
348.2,355.0,-96.0,-98.0,-94.0,6.5,5.2,7.8,5,12:57:30
358.2,356.5,-96.0,-96.0,-94.0,7.5,7.2,7.8,5,12:57:37
8.2,10.7,-96.0,-96.0,-94.0,7.8,7.5,8.0,5,12:57:44
18.2,18.3,-93.0,-94.0,-91.0,7.8,7.2,7.8,5,12:57:53
28.2,29.6,-94.0,-95.0,-93.0,7.8,7.2,7.8,5,12:58:01
38.2,36.9,-94.5,-95.0,-93.0,7.3,6.5,10.2,4,12:58:08
48.2,53.5,-96.0,-98.0,-94.0,6.0,5.5,7.0,5,12:58:16
58.2,63.7,-97.0,-99.0,-96.0,6.5,5.8,6.8,5,12:58:25
68.2,77.8,-97.5,-100.0,-97.0,6.4,4.8,7.5,4,12:58:34
78.2,78.3,-96.0,-98.0,-94.0,6.8,6.2,7.5,5,12:58:41
88.2,85.9,-96.0,-97.0,-95.0,7.2,7.2,7.8,5,12:58:48
98.2,96.0,-95.0,-96.0,-94.0,7.5,7.2,8.0,5,12:58:56
108.2,112.3,-96.0,-96.0,-94.0,7.2,6.2,7.5,5,12:59:03
118.2,122.4,-98.0,-99.0,-97.0,5.8,5.2,6.5,5,12:59:09
128.2,132.8,-100.0,-104.0,-98.0,4.0,2.8,5.0,5,12:59:16
138.2,141.2,-102.0,-105.0,-101.0,2.8,0.2,4.2,5,12:59:23
148.2,151.1,-104.0,-104.0,-101.0,0.8,0.0,1.2,5,12:59:30
158.2,163.1,-102.0,-105.0,-102.0,2.8,0.0,4.0,5,12:59:38
168.2,168.7,-103.0,-104.0,-101.0,1.8,0.2,3.0,5,12:59:47
178.2,178.5,-102.0,-102.0,-101.0,3.0,2.2,3.5,5,12:59:55
