# VespaTrack 360-graden stralingsdiagram
# meetmoment: 2026-07-24 16:17:33
# hoogte: 2.0 m
# meetplek: lat 50.7590184, lon 4.2257675
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.0 MHz
# hoek_gemeten is absolute MAVLink-heading, niet relatief
hoek_commando,hoek_gemeten,rssi_mediaan,rssi_min,rssi_max,snr_mediaan,snr_min,snr_max,n_metingen,tijdstip
155.8,165.7,-102.0,-102.0,-98.0,4.5,1.0,6.2,5,16:13:19
165.8,150.6,-102.0,-104.0,-100.0,0.25,-1.8,2.8,4,16:13:37
175.8,175.8,-103.0,-105.0,-100.0,-0.5,-1.2,2.5,5,16:13:45
185.8,186.3,-104.0,-105.0,-103.0,0.0,-0.8,1.8,5,16:13:51
195.8,195.5,-102.0,-104.0,-102.0,0.5,-1.2,2.2,5,16:13:58
205.8,209.6,-102.0,-104.0,-101.0,2.2,1.0,5.0,5,16:14:08
215.8,218.1,-101.0,-102.0,-100.0,3.8,1.8,4.5,5,16:14:15
225.8,228.3,-100.0,-102.0,-98.0,3.5,3.2,5.0,5,16:14:21
235.8,237.2,-102.5,-120.0,-102.0,0.4,-1.8,1.8,4,16:14:30
245.8,250.6,-103.0,-104.0,-103.0,0.2,-0.2,1.5,5,16:14:39
255.8,255.7,-105.0,-120.0,-104.0,-2.2,-3.8,-1.5,3,16:14:52
265.8,269.8,-105.0,-105.0,-98.0,-1.35,-2.0,2.0,4,16:15:04
275.8,275.3,-104.5,-120.0,-103.0,1.0,-2.5,2.8,4,16:15:15
285.8,288.4,-102.0,-103.0,-100.0,0.2,-2.5,2.8,5,16:15:24
295.8,297.3,-101.0,-101.0,-99.0,3.8,0.8,4.2,5,16:15:32
305.8,309.2,-101.0,-101.0,-99.0,4.0,3.8,5.0,5,16:15:40
315.8,317.6,-100.0,-101.0,-99.0,5.8,5.2,6.0,5,16:15:47
325.8,325.8,-99.0,-100.0,-97.0,5.5,4.5,6.0,5,16:15:55
335.8,337.0,-97.0,-99.0,-96.0,5.8,5.5,6.8,5,16:16:04
345.8,344.8,-99.0,-100.0,-99.0,6.0,5.0,6.5,5,16:16:10
355.8,0.1,-102.0,-103.0,-101.0,2.2,0.8,2.5,5,16:16:18
5.8,7.3,-102.0,-103.0,-98.0,2.8,1.0,3.0,5,16:16:27
15.8,17.3,-100.0,-100.0,-99.0,5.0,4.5,5.2,5,16:16:36
25.8,26.9,-98.0,-100.0,-97.0,6.2,6.0,6.8,5,16:16:45
35.8,38.0,-96.0,-98.0,-94.0,5.8,5.2,7.0,5,16:16:53
45.8,47.1,-96.0,-97.0,-95.0,7.0,6.5,7.2,5,16:17:02
55.8,56.7,-95.0,-98.0,-94.0,6.8,5.8,6.8,5,16:17:10
65.8,67.4,-98.0,-98.0,-97.0,6.0,5.5,7.0,5,16:17:17
75.8,79.8,-102.0,-102.0,-100.0,3.0,2.8,4.5,5,16:17:25
85.8,86.8,-103.0,-103.0,-99.0,2.0,1.8,2.0,3,16:17:33
