# VespaTrack 360-graden stralingsdiagram
# meetmoment: 2026-07-28 15:18:47
# hoogte: 2.0 m
# meetplek: lat 50.7591497, lon 4.2256610
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.0 MHz
# hoek_gemeten is absolute MAVLink-heading, niet relatief
hoek_commando,hoek_gemeten,rssi_mediaan,rssi_min,rssi_max,snr_mediaan,snr_min,snr_max,n_metingen,tijdstip
154.1,164.9,-105.0,-106.0,-102.0,0.5,-0.8,5.0,5,15:13:41
164.1,93.9,-108.5,-120.0,-105.0,-3.65,-5.2,-2.5,4,15:13:58
174.1,175.2,-105.0,-107.0,-104.0,1.0,-0.2,2.5,5,15:14:06
184.1,186.7,-104.0,-106.0,-104.0,2.5,-0.2,4.5,5,15:14:15
194.1,195.6,-106.0,-120.0,-105.0,1.8,0.5,2.8,5,15:14:26
204.1,203.6,-106.0,-120.0,-105.0,1.2,0.2,3.2,5,15:14:38
214.1,215.0,-104.0,-106.0,-103.0,1.2,-1.5,2.2,5,15:14:47
224.1,226.1,-106.0,-107.0,-104.0,-1.5,-2.8,1.2,5,15:14:56
234.1,236.9,-107.0,-107.0,-106.0,-2.2,-3.5,-0.5,5,15:15:03
244.1,244.0,-106.0,-107.0,-106.0,-1.65,-2.2,-0.2,4,15:15:12
254.1,257.7,-106.0,-106.0,-106.0,-2.2,-3.5,-0.8,3,15:15:24
264.1,266.9,-105.0,-107.0,-104.0,1.6,0.2,2.8,4,15:15:36
274.1,275.8,-104.0,-105.0,-103.0,1.2,0.0,2.8,5,15:15:43
284.1,285.4,-103.0,-104.0,-103.0,3.0,1.0,4.0,5,15:15:53
294.1,296.2,-102.0,-102.0,-101.0,4.8,4.0,5.2,5,15:16:02
304.1,300.7,-101.0,-102.0,-96.0,4.5,1.5,5.5,5,15:16:10
314.1,316.3,-101.0,-101.0,-100.0,4.8,4.2,5.5,5,15:16:17
324.1,325.5,-102.0,-103.0,-100.0,4.8,3.8,5.5,5,15:16:24
334.1,336.6,-102.0,-103.0,-100.0,3.2,-1.0,5.2,5,15:16:30
344.1,348.2,-104.0,-105.0,-103.0,1.8,1.0,3.0,5,15:16:37
354.1,355.0,-103.0,-104.0,-103.0,3.0,2.5,4.5,5,15:16:44
4.1,6.7,-101.0,-101.0,-100.0,5.5,4.8,6.0,5,15:16:50
14.1,15.2,-100.0,-101.0,-99.0,4.8,1.8,5.2,5,15:16:58
24.1,25.7,-100.0,-101.0,-99.0,5.8,4.8,6.2,5,15:17:06
34.1,41.0,-100.0,-100.0,-99.0,6.0,5.8,6.8,5,15:17:13
44.1,48.3,-99.0,-99.0,-98.0,6.8,5.5,6.8,5,15:17:22
54.1,54.5,-99.0,-99.0,-98.0,6.0,5.8,6.5,5,15:17:31
64.1,63.2,-101.0,-102.0,-100.0,4.8,4.8,5.0,4,15:17:42
74.1,77.0,-101.0,-102.0,-100.0,4.2,3.5,5.2,5,15:17:51
84.1,85.2,-102.0,-120.0,-98.0,4.5,2.0,5.8,5,15:18:02
94.1,98.8,-103.0,-103.0,-102.0,3.2,2.8,4.2,5,15:18:09
104.1,106.3,-102.0,-103.0,-101.0,4.0,2.5,5.0,5,15:18:15
114.1,114.7,-102.0,-102.0,-100.0,4.2,3.2,4.5,5,15:18:23
124.1,127.7,-104.0,-120.0,-103.0,2.2,1.8,3.0,5,15:18:30
134.1,136.0,-105.0,-106.0,-104.0,-0.5,-1.8,1.0,5,15:18:36
144.1,145.9,-105.0,-106.0,-97.0,-2.0,-3.5,-0.2,5,15:18:47
